pt-br,en
Isso não acontecerá.,That won't happen.
"Eu vou ligar para eles amanhã, quando eu voltar.",I'll call them tomorrow when I come back.
Ligarei para eles amanhã quando eu voltar.,I'll call them tomorrow when I come back.
Eu vou.,I'm going to go.
Eu irei.,I'm going to go.
Eu não posso viver esse tipo de vida.,I can't live that kind of life.
Ele está me chutando!,He's kicking me!
"Olha, uma borboleta!","Oh, there's a butterfly!"
Você está brincando comigo?!,Are you freaking kidding me?!
Você está tentando me fazer de besta?!,Are you freaking kidding me?!
Você está brincando comigo?,Are you freaking kidding me?!
Essa foi a coisa mais estúpida que eu já disse.,That's the stupidest thing I've ever said.
"Eu não quero ser bobo, quero ser legal!!",I don't want to be lame; I want to be cool!!
Eu vou atirar nele.,I'm gonna shoot him.
Eu só estou falando.,I'm just saying!
Só estou dizendo.,I'm just saying!
É porque você é menina.,That's because you're a girl.
Eu não posso contar a ela agora. Não é mais tão simples.,I can't tell her now. It's not that simple anymore.
"Sempre quando eu acho algo que me agrade, este algo é caro demais.","Whenever I find something I like, it's too expensive."
"Se alguém perguntar qual é o sentido da história, eu realmente não sei.","If anyone was to ask what the point of the story is, I really don't know."
Eu não sabia de onde isso veio.,I didn't know where it came from.
Eu não gostei.,I didn't like it.
Ela está perguntando como isso é possível.,She's asking how that's possible.
Você está simplesmente fugindo dos problemas da vida.,You're just running away from life's problems.
Você só está fugindo dos problemas da vida.,You're just running away from life's problems.
Há um problema que você não consegue ver.,There's a problem there that you don't see.
Eu não vou te perguntar mais nada hoje.,I won't ask you anything else today.
Eu não sei o que você quis dizer.,I don't know what you mean.
"Realmente, você não é burro.",You're really not stupid.
Exceto que aqui não é tão simples assim.,"Except that here, it's not so simple."
Você nunca tem aula ou o quê?,You never have class or what?!
Eu não gosto mais de você.,I don't like you anymore.
Parabéns.,Congratulations!
Meus parabéns!,Congratulations!
Eu não quero esperar tanto.,I don't want to wait that long.
Eu não queria que isso acontecesse.,I didn't want this to happen.
"Você pode provavelmente adivinhar o que acontece, porém.",You can probably guess what happens though.
"Antes de se dar conta, você estará nos jornais.","Next thing you know, you'll be in the papers."
"Agora falando sério, o episódio 21 quase me fez chorar de rir.","Seriously though, episode 21 made me almost cry while laughing."
Isso só mostra que você não é um robô.,It only shows you're not a robot.
É aí que está o problema.,Therein lies the problem.
"Não importa o que eu fizer, ela diz que eu posso fazer melhor.","Whatever I do, she says I can do better."
Eu não tenho ninguém que viaje comigo.,I don't have anyone who'd travel with me.
Eu não falo japonês.,I don't speak Japanese.
Você não pode esperar que eu sempre pense em tudo!,You can't expect me to always think of everything!
"Eu imagino que por trás de cada coisa que temos que fazer, existe algo que queremos fazer.","I suppose that behind each thing we have to do, there's something we want to do..."
Você realmente não tem as prioridades corretas!,You really don't have the right priorities!
Não espere que as outras pessoas pensem por você.,Don't expect others to think for you!
Não há porque fingir para me fazer acreditar que eu acredito em coisas que você não acredita!,It's no use pretending to make me believe that I believe things you don't believe!
Eu sou tão burro... estou tentando te explicar coisas que eu mesmo não entendo.,I'm so dumb... I'm trying to explain things to you that I don't understand myself.
Pare de me ver como uma pessoa comum.,"Stop seeing me as a ""normal"" person!"
Sempre haverá coisas que eu nunca vou aprender. Eu não tenho a eternidade à minha disposição!,"There will always be things I will never learn, I don't have eternity before me!"
"Confie em mim, disse ele.","Trust me, he said."
"Se você não comer, você morre.","If you don't eat, you die."
Por que não vamos pra casa?,Why don't we go home?
Você é um anjo!,You're an angel!
É surpresa.,It's a surprise.
Ida e volta? Só ida.,Round trip? Only one-way.
Deixaram eles sem saber o que dizer.,They were left speechless.
Não abra antes do trem parar.,Don't open before the train stops.
"Eu não consigo pensar com esse barulho, disse ela, fixando os olhos na máquina de escrever.","I can't think with that noise, she said, as she stared at the typewriter."
Eu me pergunto quanto tempo vai durar.,I wonder how long it's going to take.
"Não vemos as coisas como elas são, mas como nós somos.","We don't see things as they are, but as we are."
O que você quer dizer com você não sabe?,What do you mean you don't know?!
Acho que eu vou dormir.,I think I'm gonna go to sleep.
Meu nome é Jack.,My name is Jack.
Essas coisas não são minhas!,These things aren't mine!
"Obrigado, isso é tudo.","Thanks, that's all."
Não é minha culpa!,It's not my fault!
"Vamos, brinque comigo, estou tão entediado!","Come on, play with me, I'm so bored!"
Nem pense em comer meu chocolate!,Don't you even think of eating my chocolate!
Quem não conhece esse problema?,Who doesn't know this problem?!
Que chato... Eu não posso usar o computador nem mesmo uma vez sem ter dor de cabeça.,So annoying... Now I get a headache whenever I use the computer!
Ninguém veio.,Nobody came.
Olhe para mim quando eu falar com você!,Look at me when I talk to you!
Chame a polícia!,Call the police!
É muito caro!,It's too expensive!
Estou morrendo de fome!,I'm starving!
Estou morrendo de fome.,I'm starving!
Estou faminto!,I'm starving!
Não quero pedir a sua mão!,I don't want to propose to you!
"Bom dia, disse Tom sorrindo.","Good morning, said Tom with a smile."
"Não fique preocupado, fique feliz!","Don't worry, be happy!"
Encare a vida com um sorriso!,Face life with a smile!
Ele já é um homem.,He's already a man.
"Quando você não pode fazer o que quer, você faz o que pode.","When you can't do what you want, you do what you can."
Você não disse nada para ele?,You didn't tell him anything?
"Sorria agora, chore depois!","Smile now, cry later!"
"Ei, olhe, um macaco de três cabeças!","Hey, look, a three-headed monkey!"
"Vamos encarar, é impossível. Nunca vamos fazer isso.","Let's face it, it's impossible. We're never gonna make it."
Eu não quero ir à escola.,I don't want to go to school.
Eu não quero ir pra escola.,I don't want to go to school.
"Ela é realmente inteligente, não é?","She's really smart, isn't she?"
Tarde demais.,Too late.
Aaahh! Meu computador está quebrado!,Aaah!! My computer is broken!
Eu não vou perder!,I won't lose!
Eu não perderei!,I won't lose!
Mas você nunca me disse isso!,But you've never told me about this!
"Desculpe, acho que não vou poder.","Sorry, I don't think I'm gonna be able to."
Está a dar comigo em doido.,It's driving me crazy.
Lá fora está totalmente escuro.,It's all dark outside.
Eu nunca disse que eu era frágil.,I never said I was fragile.
Eu não consigo acreditar nisso!,I can't believe it!
Ele está dormindo como um bebê.,He's sleeping like a baby.
Ela está pedindo o impossível.,She's asking for the impossible.
O quê? Você ainda não sabe dirigir?,What... you still don't know how to drive?
Eu quero um tocador de MP3!,I want an MP3 player!
O quê?! Você comeu meu urso de chocolate?!,What?! You ate my chocolate bear?!
Você me irrita!,You piss me off!
De jeito nenhum!,No way!
Impossível!,No way!
Sem chance!,No way!
Eu não necessariamente acredito em traduções.,I don't necessarily trust translations.
"Se eu não fizer agora, nunca farei.","If I don't do it now, I never will."
Não se esqueça de nós.,Don't forget about us!
Por um acaso você sabe onde eu pus minhas chaves?,Any chance you know where I put my keys?
Estou me preparando para o pior.,I'm getting ready for the worst.
"Se nós soubéssemos o que é que estávamos fazendo, não seria chamado de pesquisa, seria?","If we knew what we were doing, it wouldn't be called research, would it?"
Essa é a verdade sobre as pessoas que acham que odeiam computadores. O que eles realmente odeiam são programadores negligentes.,That's the thing about people who think they hate computers. What they really hate is lousy programmers.
De quem é isso?,Whose is this?
Abaixe suas mãos!,Put your hands down!
Estou esperando há horas.,I've been waiting for hours.
Eu não o conheço.,I don't know him.
Tô nem aí.,I don't care.
Eu não me importo.,I don't care.
Não estou nem aí.,I don't care.
"Tal pai, tal filho.","Like father, like son."
Eu estava esperando isso!,I was expecting it!
Era o que eu estava esperando!,I was expecting it!
Eu não sabia que ele bebia tanto.,I didn't know he drank so much.
Bom apetite!,Enjoy your meal!
Eu não quero mais ele.,I don't want it anymore.
Eu não quero mais.,I don't want it anymore.
Ele veio várias vezes.,He came several times.
Partimos de trem.,We left by train.
Nós tentamos tanto melhorar as coisas para nossos filhos que nós as deixamos piores.,We tried so hard to make things better for our kids that we made them worse.
Ele pulou da janela.,He jumped out the window.
Eles discutiram.,They quarreled.
Eu falei com uns amigos.,I talked to friends.
Estou feliz em vê-lo de volta.,I'm glad to see you back.
É mais difícil do que você pensa.,It's more difficult than you think.
Uma vez na vida estou fazendo uma boa ação... e não serve para nada.,For once in my life I'm doing a good deed... And it is useless.
Me conta!,Tell me about it!
Eu trabalho até no domingo.,I work even on Sunday.
Ela está vendendo drogas em shows.,She's selling drugs at concerts.
Até mesmo cirurgia plástica não adiantaria para sua feiura.,Even plastic surgery won't do anything for your ugliness.
Se você vier por este caminho...,If you will come this way...
Eu não consigo acreditar no que estou vendo.,I can't believe my eyes.
Você está indo muito longe.,You're going too far.
Você está indo longe demais.,You're going too far.
"Você pode dirigir, não pode?","You can drive a car, can't you?"
"Você pode dirigir um carro, não pode?","You can drive a car, can't you?"
"Você mentiu para mim, não foi?","You lied to me, didn't you?"
"Vocês mentiram para mim, não mentiram?","You lied to me, didn't you?"
Você não sabe como estou preocupado.,You don't know how worried I am.
Seria melhor se você não a visse agora.,You'd better not see her now.
Você vem conosco agora.,You're coming with us now.
Você vem com a gente agora.,You're coming with us now.
Você errou em seus cálculos.,You're off in your reckoning.
Você errou em sua avaliação.,You're off in your reckoning.
"Você sabe nadar, não é?","You can swim, can't you?"
"Você sabe nadar, não sabe?","You can swim, can't you?"
"Vocês sabem nadar, não sabem?","You can swim, can't you?"
Como você é gentil!,How kind you are!
Que grosseria de sua parte!,How rude of you!
Como você tem sorte!,How lucky you are!
Como você é sortudo!,How lucky you are!
"Você é amigo do Tom, não?","You're a friend of Tom's, eh?"
Você não precisa fazer de uma vez só.,You needn't do it at once.
É melhor você não ir lá.,You'd better not go there.
Acho que você está certo.,I think you're right.
Não entendo o que você quer dizer.,I don't get what you mean.
Você está no caminho certo.,You're on the right track.
Daremos a você a sua vingança.,We'll give you your revenge.
Como eu senti saudades de você!,How I've missed you!
Eu não te disse isso?,Didn't I tell you so?
Eu não disse?,Didn't I tell you so?
Não posso nem pensar em viver sem você.,I can't think of life without you.
Não consigo pensar na vida sem você.,I can't think of life without you.
"Quando você sair da prisão, ela, provavelmente, estará casada.","By the time you get out of jail, she'll probably have gotten married."
Eu não te culpo.,I don't blame you.
"Enquanto você estiver aqui, eu fico.","As long as you're here, I'll stay."
Ele trabalha num banco.,He works for a bank.
Nosso dinheiro acabou.,We ran short of money.
Estou sem dinheiro.,I'm broke.
Estou duro.,I'm broke.
Estou quebrado.,I'm broke.
Fique sabendo que dinheiro não cresce em árvore.,"Money doesn't grow on trees, you know."
Saiba você que dinheiro não dá em árvore.,"Money doesn't grow on trees, you know."
Dizem que teremos um terremoto um dia desses.,They say we'll have an earthquake one of these days.
Pedaços do espelho estavam espalhados pelo chão.,Fragments of the mirror were scattered on the floor.
Ensinar é aprender.,Teaching is learning.
Não fique com medo.,Don't be afraid.
Não há o que temer.,There's nothing to be afraid of.
Não posso evitar o choro.,I can't help crying.
"Apresse-se, Tom.","Hurry up, Tom."
"Você gosta de chuva, não gosta?","You like rain, don't you?"
Sua filha está drogada.,Your daughter's on drugs.
"Doente e cansada, ela foi para a cama cedo.","Sick and tired, she went to bed early."
Não sabia que você se importava.,I didn't know you cared!
Não sabia que vocês se importavam.,I didn't know you cared!
Eu acabei de escovar.,I just brush it off.
Não quero voltar.,I don't wanna go back.
Olhe! Tem um caminhão vindo!,Look out! There's a truck coming!
"É um pequeno apartamento barulhento, mas é onde eu moro, e chamo-o de casa.","It's a small noisy apartment, but it's where I live and I call it home."
O técnico se sentou no banco com seus braços cruzados.,The manager sat on the bench with his arms folded.
Feliz dia de ação de graças.,Happy Thanksgiving Day.
Sem problema!,No problem at all!
Estou congelando.,I'm freezing.
O estudante saiu sem dizer nada.,The student left without saying anything.
"Você quer compromisso, não quer?","You want commitment, don't you?"
Saia.,Get out.
Sai.,Get out.
"Fui convidado para uma viagem no exterior, mas eu não quero ir.","I've been invited on a trip abroad, but I don't want to go."
Eu não aguento isso.,I can't put up with it.
Eu não suporto isso.,I can't put up with it.
Comparamos o trabalho dele com o dela.,We compared his work with hers.
