pt-br,en
Vamos tentar algo!,Let's try something.
Preciso ir dormir.,I have to go to sleep.
Tenho que ir dormir.,I have to go to sleep.
Preciso dormir.,I have to go to sleep.
Tenho de dormir.,I have to go to sleep.
Muriel completou 20 anos.,Muiriel is 20 now.
Muriel tem 20 anos agora.,Muiriel is 20 now.
A Muriel está com 20 anos agora.,Muiriel is 20 now.
"A senha é ""Muiriel"".","The password is ""Muiriel""."
A senha é ''Muiriel''.,"The password is ""Muiriel""."
Volto logo.,I will be back soon.
Já volto.,I will be back soon.
Volto já.,I will be back soon.
Voltarei logo.,I will be back soon.
Estarei de volta logo.,I will be back soon.
Isso nunca acaba.,This is never going to end.
Eu estava nas montanhas.,I was in the mountains.
É uma foto recente?,Is it a recent picture?
A educação nesse mundo me decepciona.,Education in this world disappoints me.
Você está em melhor forma do que eu.,You're in better shape than I am.
Você está no meio.,You are in my way.
Você está no meu caminho.,You are in my way.
"Pode ser que eu desista em breve e, em vez disso, tire uma soneca.",I may give up soon and just nap instead.
É porque você não quer ficar sozinho.,It's because you don't want to be alone.
Algumas vezes ele é um cara estranho.,Sometimes he can be a strange guy.
Às vezes ele pode ser um rapaz estranho.,Sometimes he can be a strange guy.
Farei o melhor de mim para não atrapalhar seus estudos.,I'll do my best not to disturb your studying.
Só me resta me perguntar se é do mesmo jeito com todo mundo.,I can only wonder if this is the same for everyone else.
Eu suponho que seja diferente quando você pensa sobre isso a longo prazo.,I suppose it's different when you think about it over the long term.
Sinto sua falta.,I miss you.
Estou com saudades de você.,I miss you.
Saudades.,I miss you.
Eu sempre gostei mais de personagens misteriosos.,I always liked mysterious characters more.
Você deveria ir dormir.,You should sleep.
Você deveria dormir.,You should sleep.
Eu disse para eles para me enviarem outra entrada.,I told them to send me another ticket.
Disse-lhes que me mandassem outro boleto.,I told them to send me another ticket.
Você é tão impaciente comigo.,You're so impatient with me.
Você está tão impaciente comigo.,You're so impatient with me.
Eu jamais gostei de biologia.,I never liked biology.
Eu nunca gostei de biologia.,I never liked biology.
Nunca curti biologia.,I never liked biology.
A última pessoa para quem eu contei a minha ideia achou que eu estava louca.,The last person I told my idea to thought I was nuts.
A última pessoa a quem contei minha ideia pensou que eu estava louco.,The last person I told my idea to thought I was nuts.
A última pessoa para quem contei minha ideia pensou que eu estava louco.,The last person I told my idea to thought I was nuts.
"Se o mundo não fosse como ele é hoje, eu poderia confiar em qualquer um.","If the world weren't in the shape it is now, I could trust anyone."
"É verdade, infelizmente.",It is unfortunately true.
Infelizmente é verdade.,It is unfortunately true.
Eles estão muito ocupados lutando uns contra os outros para cuidar de ideais comuns.,They are too busy fighting against each other to care for common ideals.
A maioria das pessoas acham que eu sou louco.,Most people think I'm crazy.
A maioria das pessoas acha que eu estou louco.,Most people think I'm crazy.
"Não, eu não sou. Você que é!",No I'm not; you are!
"Não sou, não; você que é!",No I'm not; you are!
"Não, eu não sou; você é!",No I'm not; you are!
"Não, eu não estou; você está!",No I'm not; you are!
Você está certo disso?,Are you sure?
Não me surpreende.,It doesn't surprise me.
Isso não me surpreende.,It doesn't surprise me.
